,Adder,名稱,型態,單位,權限,備註
0000,0,工具名稱[0~1],2char,ascii,rw,
0001,1,工具名稱[2~3],2char,ascii,rw,
0002,2,工具名稱[4~5],2char,ascii,rw,
0003,3,工具名稱[6~7],2char,ascii,rw,
0004,4,工具名稱[8~9],2char,ascii,rw,
0005,5,工具名稱[10~11],2char,ascii,rw,
0006,6,工具名稱[12~13],2char,ascii,rw,
0007,7,工具名稱[14~15],2char,ascii,rw,
0008,8,工具名稱[16~17],2char,ascii,rw,
0009,9,工具名稱[18~19],2char,ascii,rw,
000A,10,macAdder[0],2hex,,r,
000B,11,macAdder[1],2hex,,r,
000C,12,macAdder[2],2hex,,r,
000D,13,休眠時間,int,s,rw,範圍:30~65536
000E,14,工作模式,int,eunm,rw,0.正常模式1.壓力控制2.流量控制
000F,15,目標壓力[0],int,psi,rw,範圍:0~9999
0010,16,目標壓力[1],int,,rw,
0011,17,目標油量[0],int,cc,rw,範圍:0~9999
0012,18,目標油量[1],int,,rw,
0013,19,工作超時,int,s,rw,範圍:5~65536
0014,20,logIndex[0],int,,r,範圍:0~4294967296
0015,21,logIndex[1],,,r,
0016,22,紀元時間[0],int,,rw,
0017,23,紀元時間[1],,,rw,
0018,24,紀元時間[2],,,rw,
0019,25,紀元時間[3],,,rw,
001A,26,電量,int,%,r,範圍:0~100
001B,27,公制/英制單位,int,bool,rw,0:公制1:英制
001C,28,,,,,
001D,29,,,,,
001E,30,,,,,
,31,,,,,
,32,,,,,
,33,,,,,
,34,,,,,
,35,,,,,
,36,,,,,
,37,,,,,
,38,,,,,
,39,,,,,
,40,,,,,
,41,,,,,
,42,,,,,
,43,,,,,
,44,,,,,
,45,,,,,
,46,,,,,
,47,,,,,
,48,,,,,
,49,,,,,
,50,,,,,
,51,,,,,
,52,,,,,
,53,,,,,
,54,,,,,
,55,,,,,
,56,,,,,
,57,,,,,
,58,,,,,
,59,,,,,
,60,,,,,
,61,,,,,
,62,,,,,
,63,,,,,
,64,,,,,
,65,,,,,
,66,,,,,
,67,,,,,
,68,,,,,
,69,,,,,
,70,,,,,
,71,,,,,
,72,,,,,
,73,,,,,
,74,,,,,
,75,,,,,
,76,,,,,
,77,,,,,
,78,,,,,
,79,,,,,
,80,,,,,
,81,,,,,
,82,,,,,
,83,,,,,
,84,,,,,
,85,,,,,
,86,,,,,
,87,,,,,
,88,,,,,
,89,,,,,
,90,,,,,
,91,,,,,
,92,,,,,
,93,,,,,
,94,,,,,
,95,,,,,
,96,,,,,
,97,,,,,
,98,,,,,
,99,,,,,
,100,,,,,
,,LOG紀錄,,,,
,102,工作模式,,,,0.正常模式1.壓力控制2.流量控制
,,結果,,,,OK、NG
,103,總油量[0],,,,
,104,總油量[1],,,,
,105,最大壓力[0],,,,
,106,最大壓力[1],,,,
,107,紀元時間[0],,,,
,108,紀元時間[1],,,,
,109,紀元時間[2],,,,
,110,紀元時間[3],,,,
,111,errorCode,,,,
,112,,,,,
,113,,,,,
,114,,,,,
,115,,,,,
,116,,,,,
,117,,,,,
,118,,,,,
,119,,,,,
,120,,,,,
,121,,,,,
,122,,,,,
,123,,,,,
,124,,,,,
,125,,,,,
,126,,,,,
,127,,,,,
,128,,,,,
,129,,,,,
,130,,,,,
,131,,,,,
,132,,,,,
,133,,,,,
,134,,,,,
,135,,,,,
,136,,,,,
,137,,,,,
,138,,,,,
,139,,,,,
,140,,,,,
,141,,,,,
,142,,,,,
,143,,,,,
,144,,,,,
,145,,,,,
,146,,,,,
,147,,,,,
,148,,,,,
,149,,,,,
,150,,,,,
,151,,,,,
,152,,,,,
,153,,,,,
,154,,,,,
,155,,,,,
,156,,,,,
,157,,,,,
,158,,,,,
,159,,,,,
,160,,,,,
,161,,,,,
,162,,,,,
,163,,,,,
,164,,,,,
,165,,,,,
,166,,,,,
,167,,,,,
,168,,,,,
,169,,,,,
,170,,,,,
,171,,,,,
,172,,,,,
,173,,,,,
,174,,,,,
,175,,,,,
,176,,,,,
,177,,,,,
,178,,,,,
,179,,,,,
,180,,,,,
,181,,,,,
,182,,,,,
,183,,,,,
,184,,,,,
,185,,,,,
,186,,,,,
,187,,,,,
,188,,,,,
,189,,,,,
,190,,,,,
,191,,,,,
,192,,,,,
,193,,,,,
,194,,,,,
,195,,,,,
,196,,,,,
,197,,,,,
,198,,,,,
,199,,,,,
,200,,,,,
,201,,,,,
,202,,,,,
,203,,,,,
,204,,,,,
,205,,,,,
,206,,,,,
,207,,,,,
,208,,,,,
,209,,,,,
,210,,,,,
,211,,,,,
,212,,,,,
,213,,,,,
,214,,,,,
,215,,,,,
,216,,,,,
,217,,,,,
,218,,,,,
,219,,,,,
,220,,,,,
,221,,,,,
,222,,,,,
,223,,,,,
,224,,,,,
,225,,,,,
,226,,,,,
,227,,,,,
,228,,,,,
,229,,,,,
,230,,,,,
,231,,,,,
,232,,,,,
,233,,,,,
,234,,,,,
,235,,,,,
,236,,,,,
,237,,,,,
,238,,,,,
,239,,,,,
,240,,,,,
,241,,,,,
,242,,,,,
,243,,,,,
,244,,,,,
,245,,,,,
,246,,,,,
,247,,,,,
,248,,,,,
,249,,,,,
,250,,,,,
,251,,,,,
,252,,,,,
,253,,,,,
,254,,,,,
,255,,,,,
,256,,,,,
,257,,,,,
,258,,,,,
,259,,,,,
,260,,,,,
,261,,,,,
,262,,,,,
,263,,,,,
,264,,,,,
,265,,,,,
,266,,,,,
,267,,,,,
,268,,,,,
,269,,,,,
,270,,,,,
,271,,,,,
,272,,,,,
,273,,,,,
,274,,,,,
,275,,,,,
,276,,,,,
,277,,,,,
,278,,,,,
,279,,,,,
,280,,,,,
,281,,,,,
